topic,document,Topic_words
4,"Eccellente Music Amplifier with Bluetooth FM, AX Line, USB_Connect with Laptop, Tablet, Mobile, TV_HT109_Connect 4 Speakers - 10W Each The Amplifier Led Light Display. The product supports all Bluetooth Device;Tablets, IPAD, Mobile, TV, LED Smart TV, Desktop, Laptop. You can connect it through Bluetooth, AUX line, FM Radio, Pendrive, USB","['bluetooth', 'wireless bluetooth', 'mp3 player']"
-1,"House of Quirk Cinema Light Box with 96 Letters and Symbols - DIY Cinematic LED Light Box, Free Combination (A4 Size, 96pcs Signs)(A4-1)","['bag', 'bean bag', 'cotton']"
15,"MILESTOUCH - 2 Pices - Hand Free Wash Lota - Travel Go Bidet, Set of - 2 BIDETS Item Package Quantity:2   On The Go Travel Bidet - Hand Free Wash Bidet, Hygiene Wash","['gsm towels', 'towel set', 'towels colours']"
0,"Marvel Avengers Round Neck Black Polyester T-Shirt for Boys DMA0047 If you’ve got an Avengers obsessed little hero we have the perfect treat. Ranging from Iron Man T-Shirts that’ll make ‘em look cooler than Tony Stark, to Captain America to feel strong enough to withstand even Hulk’s Smash, our cool graphic prints will make them want to get out of their school clothes and ready to save the world in no time. Kids, the next time you need to lift Thor’s Hammer, fight Hydra, or come face to face with the Punisher, make sure you look the part with our cool Superhero T-Shirts.","['slim fit', 'sweatshirt', 'regular fit']"
3,APPUCOCO Book Shelf Wall Mounted Heavy Duty Metal Invisible Book Shelves 2 Piece Per Pack (Made in India) with Screws & Plastic Anchors Included - Black,"['furniture', 'sheesham wood', 'table chair']"
1,"Ikall N1 Tablet with Keyboard (8 inch, 8GB, WiFi + 4G LTE + Voice Calling), Gold 8 GB 8 inch display tablet with keyboard with Wi-Fi plus 4G, Colour: Gold.","['ipad', 'smartphone', 'bluetooth']"
12,"Robodo Electronics GSM2DBi GSM Magnetic Antenna SMA 900/1800MHz RG174 Cable 3M Long This antenna is designed for gsm gprs 900/1800mhz system of communication terminal system. The antenna is structure compact and convenient for easy installation. Commonly used in gsm repeater, gsm sensor, gsm module and gsm modems. Electrical specifications: frequency range -mhz. 800Mhz-960mhz,. 1880Mhz-1930mhz. (V. S. W. R ≤ 2. 0 Gain-dbi 2. 0 Polarization vertical impedance- Ω 50 maximum input power-w 10). Mechanical specifications: connector sma male. 3 Meter wire length. Radom material metal. Radom color black. Operation temperature- -30~60. Humidity- percent 5~95. Magnetic base.","['aux cable', 'usb charger', 'secro cables']"
-1,"MAX HOME® Moisture-Proof Anti Slip PVC Waterproof Place Mat for Kitchen Cupboard Liners, Refrigerator, Drawer, Table (Blue, 45 x 125 cm) 1 Pcs Color Name:Blue   Extremely useful and easy to install anywhere at home, at work and at play. Apply for kitchen, bathroom, cabinet, refrigerator and other household places. Anti-slip mat can be widely used as drawer mat, dinnerware mat, office placemat, bureau mat, tool mat, toy mat, shoe cabinet mat and can be used as any mat when you want to protect your goods from slip, scratch and moving. 1. 100% brand new and high-quality2. Washable DIY Anti-Slip Moisture Proof Anti Dust Mat for Kitchen Drawer Table Chair3.Furniture Accessory Storage Pad 4. Efficiently protect the furniture from humidity and dirt 5. Could be used as a mat for drawer, closet, wardrobe or desk6. Washable, anti-grease dirt, reduce the damage from oil or dirt.7. A necessary Furniture Accessories for your daily home life 8.Tailorable Chest/Cupboard Mat 9.Be suitable for kitchen, Chest, Cupboard, Table 10. Decor your Drawer 11. using the new PET material, has the natural disinfection and organic antibacterial agent composition","['bag', 'bean bag', 'cotton']"
3,"Mahima Handicraft Sheesham Wood Dining Table Set with 8 Chairs | Home and Living Room Furniture | Provincial Teak Finish Size:8 Seater                                                                                 |                            Color:Teak Finish with Cushions   Mahima Handicraft Is A Well Known Brand In Furniture Category In Amazon We Are Working Since 1995 In Rajasthan. And We Deal In All Type Of Furniture Like Bed,Chair, Dining,Bedside,Coffee & Center Table,Night Stand,Rocking Chair,Iron Furniture,Dressing Table, Wooden Temple,Trunk, Bar Cabinet, Bar Stool, Bar Chair, Changing Table, Drawing Board, Writing Desk, Monks Bench, Refectory Table, Folding Table, Poker Table, Trestle Table, Wine Table, Workbench, Closet, Pantry, Kitchen Cabinet, Vanity Set, Modular Furniture, Arm Chair, Wooden Rocking Chair, Wooden Designer Bed, Wooden Single Bed, Wooden Carved Sofa Set, Wooden Rack, Wood Chest, Portable Wordrobe, Wicker Sofa, Bamboo Dining Table, Foldable,Patio,Longue,Balcony Furniture,Computer,Laptop,Study Table,Kids Furniture,Garden Outdoor,Indoor,Bedroom & Living Room,Wardrobe Furniture,Kitchen,Hallway,Hotel Furniture,Cafe & Resturant Furniture Wooden Stools,Console Tables,Sideboard & Bar Cabinet,Wooden Tv Units,Home Decor Furniture,Book, Wall Shelves. |  We Provide All Type Finish In Furniture As Per Your Requirement Like Rosewood Finish, Honey Finish, Liquor Finish, Oak Finish, Metallic Finish, Glossy Finish, Mahogany Finish, Red Mahogany Finish, Natural Wood Finish, Teak Finish, Mirror Finish, Stained Finish, Cherry Brown, Cherry Wood Finish, Antique Pine Finish, Tudor Oak Finish, Black Finish, Black Finish, Dark Oak Finish, Rugger Brown Finish, Teak Finish, Old Pine Finish, Wax Finish, Brown Oak Finish, Dark Oak Finish, Maple Finish, Natural Ash Finish Etc. If You Want All Kind Of Customization Kindly Feel Free To Contact Us We Will Happy To Help You.","['furniture', 'sheesham wood', 'table chair']"
3,"UrbanWood Sheesham Wood Dining Chairs Wooden | for Home Dining Room | Teak Finish | Set of 2 Color:Design 1   This furniture piece is beautifully designed, durable and sturdy. Considering that it is compact in size and lightweight, it ensures easy portability and facilitates easy storage, without taking up much space.Assembly : We encourage self assembly of products to help customers better & completely understand thed product they buy. We encourage self assembly of products to help customers better & completely understand the product they buy.","['furniture', 'sheesham wood', 'table chair']"
-1,"Hacking About BookIn today's time where geographical boundaries are easily covered by Internet and computers with click of a button, there are lies risks within the ecosystem. Hacking somebody's details could lead to damages and losses. In this book, we have tried to provide a glimpse into the Technology world of the common terms and procedures used by the hackers to intrude into the system. It is a humble effort to make students understand with help of Diagram and Images the procedures through which the vulnerabilities are exploited. It is written in simple and lucid language to be understood by one and all.About AuthorBe a Hacker with EthicsTable of ContentPART-A. BASICS OF HACKING1: Introduction to Hacking2: Introduction to Ports & Protocols3: Virtualization & Introduction to Kali Linux4: Foot-printing5: ScanningPART-B. PERFORMING THE HACK6: Hacking Into System7: Trojans & Backdoors 8: Viruses & Worms9: Sniffing, Packet Analysis & Session Hijacking10: Social Engg. 11: Cryptography12: Steganogrpahy13: Vulnerability Assessment14: Deep Web & Dark NetPART-C. ADVANCE HACKING15: Denial of Service16: Web Application & Web Server Penetration Testing17: Wireless Network Exploitations18: Additional References","['bag', 'bean bag', 'cotton']"
15,"Whisper Ultra Clean Sanitary Pads - 44 Pieces (XL Plus) Unit Count:44   It’s about living your life by your own rules despite what society says. It’s about choosing for yourself, every day of the month. This revolutionary product whisper ultra clean xl+ has odour lock gel that locks upto 100% wetness and even odours and gives you the freedom to live life by your own rules, even during periods. Because meri life, mere rules.","['gsm towels', 'towel set', 'towels colours']"
14,"TP-Link TL-WA850RE 300Mbps Universal Wi-Fi Range Extender (White) Style name:N300   TP-LINK TL-WA850RE is designed to conveniently extend the coverage and improve the signal strength of an existing wireless network to eliminate dead zones With 300Mbps wireless N speeds, Range extender button, miniature size and wall mounting design, extending a wireless network has never been easier. What's more, its ethernet port allows the TL-WA850RE to act as a wireless adapter to turn a wired device into a wireless one. Toll free no : 1800 2094 168 Email : support.in@tp-link.com","['wireless adapter', 'link wireless', 'network adapter']"
-1,"250Ml Electric Piano Dehumidifier Portable Moisture Absorption Energy Saving Piano sensadorere Part Material: Acrylonitrile Butadiene Styrene (ABS) Color: white Size: 20x13x5cm Voltage: AC 110V-240V Power: 25W ± 10% Frequency: 50-60Hz Certificates: CE, ROHS, FCC Moisture absorption: 250ml + Features: ? Easily solve rusty strings, rusty steel, soundboard cracking and other issues ? High efficiency, charging time can be used 1-3 months ? Simple operation ? Safety ? Application: Piano How to use? (Instructions) When the dehumidifier window color change desiccant is orange (Dry), dehumidifier can dehumidify work, please placed in the piano box body dehumidification, when the dehumidifier display window desiccant was dark green (Wet) said dehumidifier has been sucked moisture, power 12-15 hours until the display of the desiccant color.When it turns orange, it means the moisture has been safely discharged, and the dehumidification power is restored as new, and can be used continuously. Package include: 1 x Dehumidifier","['bag', 'bean bag', 'cotton']"
4,"Krisons Nexon 5.1 Bluetooth Multimedia Home Theater (Black) Krisons 5.1 Home Theater Speaker System has various input sources like Bluetooth, USB ,FM Radio , AUX-IN and is compatible with your Mobile Phone , Tablets ,PCs ,Television etc. .It comes with 1 Sub-Woofer and 5 Satellite Speakers .It has a wireless remote for ease of use . It has a High Output and crystal clear natural sound. It is a perfect home entertainment audio system with state of art technology and European Design .For those who prefer true value , attractive looks and superior performance this is the right choice . Just Plug-In and enjoy .","['bluetooth', 'wireless bluetooth', 'mp3 player']"
-1,"BODYCARE Pure Cotton Multi-Coloured Trunk for Boys & Kids (333-Packof4) Bodycare Brings a new collection of Boys Brief Pack of 4, 100% cotton fabric with attractive design and stylish trendy look.","['bag', 'bean bag', 'cotton']"
-1,Kapiva Ayurveda 100% Organic Neem + Skinglow Capsules Skin Wellness - 60 Veg Capsules,"['bag', 'bean bag', 'cotton']"
-1,"XERGY eTopxizu Flexible RGB LED Strip Light with 5V USB Cable and Mini Controller for Background Lighting (Blue, Size 3.28 ft,5050) /Product features: colour changeable, flash. Staying on one colour(red,green,blue,white) with mini controller -LED strip:1 meter (3.28 Feet) with 30 pcs LEDs -USB cable (the black cable) is 1 meter/3.28 Feet -with 3 button mini controller for flash regulation,for colour changing,for speed controll. Easy and smart -driven by device with output 5v USB port,such at your computer/ desktop / laptop /tablet /car cigar lighter. Super bright smd5050 RGB colour changable LED, high intensity and reliability -waterproof flexible LED strip -perfect lighting and decoration solution for reading motor,cabinet,cupboard,corner and reading,camping,fishing. You can also use your phone charger/adapter (5v) to supply power -self-adhesive back with double side adhesive tape mini controller 3mode: mode key: 20 dynamic modes; such as flash, waterfall, chasing, spark bright and dull exchanging knight colour key: 20static colors; such as red. Blue, green, whitespeed/brightness key: 5 level speed adjustable for dynamic modes and 5level brightness adjustable for static colors. Pressing for 3 second for power on/off. This mini controller is very easy to use, just press related key and choose the mode/ speed / brightness you need. Package included: 1x 100cm LED strip light 1x 100cm USB cable with mini controller.","['bag', 'bean bag', 'cotton']"
-1,"Sony Cyber-shot DSC-H300/BC E32 point & Shoot Digital camera (Black)35x optical zoom with Power charger, Memory Card & Camera Case The High zoom camera Sony Cyber-shot H300, with a powerful 35x optical zoom, brings your subject to you for beautiful, precise pictures. A 20.1MP sensor, HD video and creative features, let you capture detailed images and movies with ease. A DSLR-style body allows for comfortable handling when shooting, panning or recording.","['bag', 'bean bag', 'cotton']"
-1,"Swiztek Laplife Laptop Charger For SAMSUNG 60W 19V/3.16A AC ADAPTER NP300 SAMSUNG RV509, R530, R580 samsung rv509 charger With Power Cord Charger for ""Samsung RV420-A01,Samsung Series 3 NP350U2B-A04, Samsung 19V 3.16A,SAMSUNG QX411 RV510 NP-QX411 RV511,Samsung Series ADP-60ZH,"" Adapter for ""Samsung RV420-A01,Samsung Series 3 NP350U2B-A04, Samsung 19V 3.16A,SAMSUNG QX411 RV510 NP-QX411 RV511,Samsung Series ADP-60ZH,""","['bag', 'bean bag', 'cotton']"
-1,17pcs 2 Hook 3 Rows Assorted Random Colors Women Spacing Bra Clip Extender Strap Package include 17pcs bra extenders,"['bag', 'bean bag', 'cotton']"
6,"Shillong Times: A Story of Friendship And Fear (10 September 2018) Review • “The book is leavened with humour. The faultlines between the two communities, Khasi and Bengali, are delineated in superb set pieces that bring out the incomprehension on both sides about the Other’s way of life.” – The Hindu Literary Review''• “Choudhury’s versatile style, his facility at characterization, the evocation of a beautiful hill town, and skillful inter-weaving of comic, serious, dark situations, makes him a winner on each count. Shillong Times is a literary multi-course buffet where every dish presents a different flavor yet each contributes to making the spread a highly satisfying meal.” – Open Road Review• ""[The author's] command over his craft shines through"" - The Sunday Tribune• ""A brilliant novel with a layered complexity of how human relations can be polarized consciously on ethnic lines, but how, more significantly the world of friendship and love acts as an antidote"" - The Shillong Times''• ""Superb with its delightful fusion of style and content."" - Kitaab.org''• “Humour transcends into profound insight of the lives and times in Shillong during the 80s” – North East Now''• “Every chapter unfolds a new dimension to the story, which makes the book even more interesting. Seeing it form every person’s perspective and narrating the tale in closest reality possible, the author has done a fabulous job by not breaking the flow at any given point. Till the very last page, Shillong Times remains a story of everyone.” - Free Press Journal‘ Nilanjan’s command over his craft shines through.’—The Tribune · ‘ Shillong Times is a deft interweaving of fact and fiction, childhood fantasy, history (the partition of the country) and contemporary politics. But more significantly the ‘telling’ of the tale is superb where there is delightful fusion of style and content peppered of course with infantile humour.’—The Shillong TimesSet in the volatile times of the 1980s—in the backdrop of communal tension between the Khasis and Bengalis—the novel begins on a highly promising note. It delves into the heart of the matter right from the first sentence, and is, thereafter, viewed, written and experienced from the lens of a 14-year-old who doesn’t quite understand racial divides.’—Indian Express Review ‘About “residents”, “outsiders” and whose right it is to live in a particular place, this is also the moving story of friendship that transcends all barriers. With humour and profound insight, Choudhury marches his characters straight into the reader’s heart.’—Hansda Sowvendra Shekhar 				    	 					              See all Product description","['dharma', 'mahabharata', 'hindu']"
3,"Shilpi Wooden Partition Leave Design/Room Divider/ Wooden Partition / Wooden Room Divider/ Wooden Screen / Wooden Seperator Foldable 4 Panels Zig Zag Position Room Partition / Screen / Dividers Handcarved Beautiful designed, premium embosed finishing,Handmade by skilled craftsmen which give royal look to your decoration. Size: 72"" (Height) x 80"" (Front Width) inches approx. (Each Panel of 20 inch width and 72 inch Height) Primary Material: Seasoned Mango Wood Note: Size and Color may be slightly different as it is antique hand carved product.No Assembly Required: The product is delivered in a pre-assembled state. Please note that the size and color of the unit may vary slightly as this is a handcrafted unit. This Product is sold and fulfilled by ""Shilpi Handicraft"" and we have not authorized any other sell our Brand Product So While Purchasing choose Shilpi Handicrafts For Authentic ""Shilpi"" brand and avoid duplicacy.","['furniture', 'sheesham wood', 'table chair']"
2,"CCNA Routing and Switching Complete Study Guide, 2ed: Exam 100-105, Exam 200-105, Exam 200-125 About the Author Todd Lammle , Cisco certified in almost every category, is the authority on Cisco networking and certification. His three decades of real-world experience is prevalent in his writing. He is an experienced networking engineer with very practical experience working on the largest bounded and unbounded networks in the world at such companies as Xerox, Hughes Aircraft, Texaco, AAA, Cisco and Toshiba, among many others.","['designed exam', 'professionals arihant', 'exam oriented']"
-1,"Amicraft Boy's Casual & Formal PU Leather Reversible Belt Black/Brown (Size 28-44 Cut to fit men's Belt) This trendy Belt for men is brought to you from the house of Amicraft Tailored with precision using high quality material. This Belt is surely going to be your companion for the coming years. Made from artificial leather, it is durable as well.The Buckle design may slightly vary as per availability.","['bag', 'bean bag', 'cotton']"
0,"Speedo Boys Swimwear Short Sleeve Suntop This short sleeve swim tee is a great cover-up top from our Boy's Swim Active collection that works hard to protect you from the sun's harmful rays. It features a crew neck with contrast stitching and offers the perfect technology for a hot day at the beach or pool because it has UPF 50+ sun protection. It is designed for the recreational athlete or water enthusiast seeking both performance and comfort features and is ideal for swimming, running, surfing, post swim workouts, trips to the pool, beach, or gym, or just lounging around in. Look and feel your best in or out of the water, while you play, train or win in the Speedo Swim Active Range.","['slim fit', 'sweatshirt', 'regular fit']"
0,"Red Tape Men's Sweater A classic and evergreen pick for winters is this Maroon sweater from RED TAPE. With a sleeveless design and fashioned from a blend of 50% Nylon and 50% lambs wool, this sweater features a V-neck and knitted design all over. Featuring an embroidered brand logo, this sweater will look best when worn over a shirt with jeans and leather shoes.","['slim fit', 'sweatshirt', 'regular fit']"
-1,"Kurtzy Silver Pedestal Mirror 3x Magnification Tabletop Shaving Makeup Cosmetic Vanity Mirror Size:3X Magnification   Pedestal Mirror 15CM, overall Height is 32 CM and Two-Sided Swivel Mirror, Standing Shaving Mirror Make Up Mirror, 2 Mirrors: true image and 3x magnification this dual-sided circular mirror has a 15cm diameter and features a smooth 360-degree swivel design, which enables viewing at any angle. Double-faced Mirrors enables choosing between true image .This Pedestal Mirror can be placed on table in bathroom, bedroom or any place you need. 6 Inch Mirror, enough for Grooming, wearing lenses and make-up Purpose. Non-slip base keeps the mirror safe on desk. Mirror is 360° rotating, can be placed at any angle you like. Care Instructions The mirror is made of Plastic.The cleaning of the mirror glass surface can be done with a damp cloth. Please avoid using harsh or caustic liquids for cleaning, they may damage the mirror.","['bag', 'bean bag', 'cotton']"
7,"Klamotten Women's Baby Doll (Pack of 2) Klamotten women nightwear. Free size. Soft and comfortable fabric. Gentle cold water wash. Fits best upto 38"" bust size.","['baby thermal', 'thermal vest', 'clothes']"
0,Kiddeo Boy's Cotton Full Sleeves T-Shirt Kids plain fullsleeve t-shirts for boys which is made up of 170 GSM 100% combed biowash cotton fabrics and fastness fabrics available in different combos which will make your kid feel very cool.,"['slim fit', 'sweatshirt', 'regular fit']"
-1,"Kyda Kids Cotton Baby Pajama Pants for Girls with Rib (Pack of 6) Size:3-4 years   Material composition: 100% cotton No of units in pack: Combo of 6 Occasion: Sleepwear, casual; Product features: Smooth breathable fabric, soft ankle rib, soft elastic waist for easy day long use Wash care instructions: Regular machine or hand wash in mild detergent, do not bleach, line dry inside out or tumble dry low, mid-hot iron","['bag', 'bean bag', 'cotton']"
-1,"Jaipurcrafts Webelkart Premium Antique Mirror For Vanity,Antique Designer Mirror- 12 In (Silver, Aluminium) Fine Art Of Rajasthan","['bag', 'bean bag', 'cotton']"
12,"Sony BCG-34HHN Powercharger and 4pc 2500mah Pre-Charged Batteries We live in a world where technology has seeped into every aspect of our lives. In this technology driven world, the importance of a power charger is imperative. This Sony BCG34HH4EI Power Charger and 4-pc AA High Capacity (2500mAh) is a perfect accessory for those who love to carry their gadgets on the go. This charger is used for rechargeable batteries. Many gadgets like cameras, mobile phones and tablets use rechargeable batteries. This power charger is easy and hassle free, it is perfect for those who travel a lot. The item weighs a meagre 231g and has a dimension of 18.2x11x7cm. This Sony power charger is very sleek and light in weight. It comes in a blister package and can easily be carried in your purse. The power charger can take up to 4 rechargeable batteries at a time with a channel of AA/AAA. It gives a maximum power capacity of 2700mAh Ni-Mh. This power charger has a standardized EU plug which is compatible with all kinds of switchboards available in India and the Middle East. The power charger gives a voltage of (AC 100V -240V). This power charger is very useful when you are travelling and your camera happens to run out of charge and you cannot capture the precious moments. Now, you no more need to panic is such situations as the Sony power charger is here for your rescue. Features at a glance: Dimensions: 18.2x11x7cm Weight: 231gm Power capacity: 2700mAh Ni-Mh Voltage:  (AC 100V -240V) Placement channels AA/AAA Compatible with all EU plugs Lightweight and compact","['aux cable', 'usb charger', 'secro cables']"
1,"Apple iPad(6th Gen) Tablet (9.7 inch, 32GB, Wi-Fi), Space Grey Size name:32GB                                                                                 |                            Style name:Wi-Fi                                                                                 |                            Colour:Space Grey   Apple iPad(6th Gen) Tablet (9.7 inch, 32GB, Wi-Fi), Space Grey","['ipad', 'smartphone', 'bluetooth']"
-1,"Shree Fashion Hub Super Soft Glace Cotton Double Bedsheet with 2 Pillow Cover, Size- 90 X 90 Inch, Multicolor","['bag', 'bean bag', 'cotton']"
9,"eSplanade Glass Tealight Candle Holders, Tealight Holders, Votives - Light Decoration (Multicolor Stars) Color:Multicolor Stars   eSplanade brings unique handmade Glass Tea light holders. Made with High Quality products with perfect finish in Set of 4. These holders will bring a soft and comforting effect when a tealight candle are lit inside. This will accentuate the look and feel of your wonderful homes, even more. These are wonderful for party decorations, festive decorations or for setting that perfect evenings. Also makes for a great gift item, housewarming party, or any other special occasion. These can be exchanged during Christmas or be given to colleagues too.","['tealights', 'tea light', 'tealight']"
7,"GOLDEN GIRL Swimming Kit for Boys Kids & Men Package Includes 1 Premium Quality Swimming Shorts With Soft Waist Band (Elastic & Drawstring at Waist ) ,1 Swim Cap, 1 Swim Google, 1 Pair Ear Plugs And 1 Nose Clip","['baby thermal', 'thermal vest', 'clothes']"
5,Dulha Libaas Men's Velvet Harem Dhoti (Red_Free Size) Stand out with a unique style with this amazing ethnic silk dhoti which is featured by Dulha Libaas. Crafted out of Japanese machine stitched this dhoti is a perfect pick for your occasional and party wear and give you extra comfortable feel throughout the day with the addition of a unique fashion statement. This dhoti is crafted with a classy lycra velvet fabric keeping in mind the Indian climate conditions.,"['cotton kurta', 'purchase kurtas', 'kurta pyjama']"
-1,TCLPVC Economy Bamboo Blind Chick Window Closer Curtain  (4 Sizes) Natutal Range… (W4/H7) Tclpvc Economy 4/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 1003,"['bag', 'bean bag', 'cotton']"
-1,"Digitrendzz Men's Patent Leather Formal Shoes for Men's + Party Wear Formal Shoes Digitrendzz Brand Offer Formal Patent Leather Fashionable Looking Formal Shoes With Different styles, sizes, and colors of Formal shoes available for purchase, you can find the perfect pair for yourself, or your significant other. These adorable shoes are as classy as well as comfortable and makes assurance of your workwear! Formal shoes also gives you a fashionable look with this mens and boys Formal patent leather Formal shoe to get comfort and style. This formal shoe will make your official look go classy. PU sole guarantees slip resistance and durability. From the Office to the city streets, Parties to Daily wear, the shoes is your best choice that match for whatever journey you putting them on. Adorn it with trousers, Denims, or cargos it will definitely elevate your look. Great shoes for summer, winter. Click Add to Cart Now....Grab a pair or two!!","['bag', 'bean bag', 'cotton']"
5,"Jaipur Kurti Women Printed Kurta Palazzo Set (Indigo & Off-White) An amazing range of women Kurtis in soft and solid colors that looks perfect for regular wear. With beautiful designs and patterns, these apparels are very stylish and comfortable too. Get rid of the 'regular' look this season wearing this kurti by Jaipur Kurti. Jaipur Kurti presents Women casual Indigo Stripes Cotton kurta which has a mandarin collar, three-quarter sleeves with side slits and Off-White palazzo. For all the girls & women out there , this is the best option to choose as this designer long kurta is very comfortable in wearing as well as gives you a stunning look for parties and gathering among friends. Paired it with suitable jeans or palazzos & suitable accessories for a complete look. Cotton blend Hand-wash. Made in India. Kurta Length:- 48 Inches. NOTE: Hand wash separately, wash with similar colors, use detergent for colors, first wash preferred as dry clean, lukewarm iron & dry in shade. COLOR DECLARATION: There might be slight variation in the actual color of the product due to different screen resolutions.","['cotton kurta', 'purchase kurtas', 'kurta pyjama']"
4,"boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Raging Red) Colour:Raging Red   Have you ditched the 3.5mm headphones jack and now looking for a good pair of Bluetooth Earphones to go wireless? Well look no further. You may wonder where we put it, but it is all there: The new Rockerz 255 are equipped with the latest Bluetooth 4.1-CSR8635 chipset and 10mm drivers. Together they ensure crystal clear wireless transmission in true HD sound. Redefine your style statement with bright Neon green and black blend of the rockerz 255. With its 6 hours play time, you're sure to spend a quarter of your day with these earphones. Listen to music, take calls or activate voice-controlled smartphone assistants because touching your phone to control it is too mainstream! The magnetic earbuds secure the earphones from falling and keeps them safe when not in use. Experience the redefined symbol of wireless earphones and plug into nirvana!","['bluetooth', 'wireless bluetooth', 'mp3 player']"
4,"Redgear Dagger Professional Gaming Headphones with RGB LED Effect, Volume Controller and Retractable Microphone High-quality sound production unit offers high, medium and low audio experience. Skin type protein earmuff. Lightweight design. LED dazzle light. High sensitivity microphone delivers more accurate, clear and smooth voice. Volume control button. Microphone on-off button. 3.5MM green jack is for headset, red jack is for microphone. USB interface for power supply for the LED lights.","['bluetooth', 'wireless bluetooth', 'mp3 player']"
2,Group Discussion Evam Interview Ki Tayari ,"['designed exam', 'professionals arihant', 'exam oriented']"
-1,"An Outline History of English Literature About the Author Hudson spent his youth studying the local flora and fauna and observing both natural and human dramas on what was then a lawless frontier, publishing his ornithological work in Proceedings of the Royal Zoological Society, initially in an English mingled with Spanish idioms. In Argentina, Hudson is considered to belong to the national literature as Guillermo Enrique Hudson, the Spanish version of his name. A town in Berazategui Partido and several other public places and institutions are named after him.","['bag', 'bean bag', 'cotton']"
-1,"Callas 2 Piece Metal Basket, Black At callas, we provide you one stop solution to all your stationery needs. At callas, we try to provide the most premium segment of stationery from all across the globe at your door step. From ring binders to clip files, note pads to desk organizers, every thing at callas is made of pure luxury.","['bag', 'bean bag', 'cotton']"
1,"MOTOWAY HDMI Wireless Mini TV Stick for iOS Apple iPhone iPad Android Smartphone Windows Mac Hardware specifications: CPU: Single Core ARM Cortex A9 Rockchip RK2928 1. 2 GHz. GPU: 3D GPU 1 x mali 400. OS: Linux 3. 0. 8. DDR3: 256MB; Nand Flash: No. Support Airmirror, DLNA, Airplay Miracast. Wi-Fi: 802. 11b/g/n 150Mbps 2. 4GHz. Support WPS function, can fast connect with Router and AP compurgation. Support Online & local (content wireless) display: Video/Audio/Photo/Office file/Website. Office Software (Display Presentation): PDF/MS Word/MS Excel/MS Powerpoint/. Online streaming:, Netflix, Hulu Plus, IDMB, Quickflix, Family on TV. Remote controller: Support by Phone/Labtop/Tablet PC. Support Video Format : AVI/DIVX/MKV/TS/DAT/MPG/MPEG1, 2, 4/MP4/RM/RMVB / WMV. Support Audio Format : MP1/MP2/MP3/WMA/OGG/ADPCM-WAV/PCM-WAV/AAC. Support Photo Format : JPEG/BMP. System supported: ANDROID, IOS, MAC, WINDOWS System requirement: IOS: IOS 7. 0 or higher (Devices: For all iPhone model after iPhone4 / all iPad model after iPad 2 / all iPod touch after iPod touch 4th generation). Resolution supported: iPhone (430 x 320 ~ 1136 x 640); iPad (1024 x 768 ~ 2048 x 1536) Storage: At least 40MB space needed. Android: Support Android OS 4. 2 with 1GB RAM. Resolution supported: WVGA ~ 1080P. Storage: At least 40MB space needed. Working distance: Up to 10m. Projector: Support Projector with HDMI output interface. Ultra low power consumption, and low heat. With compact portable deign for easy carrying. Package list: 1 x Wireless Airplay Wi-Fi Display Dongle Receiver 1 * USB with Wi-Fi 2 in 1cable 1 English User Manual.","['ipad', 'smartphone', 'bluetooth']"
-1,"Public Administration: Concepts and Theories About the Author Dr(Mrs) Pumki Basu is a professor of Public Administration and Head of the Department of Political Science at Jamia Millia Islamia, New Delhi.She graduated with first class honours in Political Science from Lady Shri Ram College(University of Delhi) from wher she also did her MA in the same subject.She obtained her PhD from the School of International Studies, Jawaharlal Nehru University, and is actively engaged in teaching and research. Dr Basu has presented papers at a number of national and international seminars and contributed articles and research papers to academic journals.Her other publications include Personnel Administration in the United Nations, The United Nations:Structure and Functions and UN and the Global Environment.","['bag', 'bean bag', 'cotton']"
-1,"Tan 13ft Outdoor Patio Umbrella Top Canopy It's really a great waste if you throw your umbrella frames away and buy a brand new umbrella. It's not only wasting your time and money, but also make you in the same position again next year. Instead of throwing out a perfectly good frame, buy an umbrella cover and give your umbrella a makeover! Features: * Canopy for 13 Feet 8-rib Market Umbrella . * With Air Vent, Good for Wooden, Steel and Aluminum Frames. * 180g UV Protective and Anti-fade Polyester. * Water Resistant Canopy for Outdoor Scenery Breeze Enjoyment Even When Drizzling. * CANOPY ONLY (umbrella ribs, pole and top finial are not included). Specifications: * Canopy Fit For: 13 Feet Diam. Umbrella(8 Ribs Wooden Construction) * Canopy Material: 180g Polyester * Color: Tan (As shown in pictures) * Distance from Tip to Tip: 59"" ( 115cm ) * Distance from Tip to Top Center (Ribs Length): 79"" ( 150cm ) * Reinforced Grommet for Finial Screw: 2/5"" (1cm) Diameter Package Includes: * 1x 13 Feet Umbrella Canopy Please Note: * You need to measure all necessary dimensions of your umbrella carefully before purchasing. * If the grommet is too small, please cut around it and screw the finial on tightly.","['bag', 'bean bag', 'cotton']"
